Problem:    floorplan
Rows:       729
Columns:    370 (370 integer, 343 binary)
Non-zeros:  2536
Status:     INTEGER NON-OPTIMAL
Objective:  obj = 6 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 obj                         6                             
   475 check5[9,6]                 0                          32 
   476 check5[9,7]                 0                          32 
   477 check5[9,8]                 0                          32 
   478 check5[9,9]                -3                          32 
   479 check5[9,10]                0                          31 
   480 check5[9,11]                0                          31 
   481 check5[9,12]                3                          31 
   482 check5[9,13]                3                          31 
   483 check5[10,1]                0                          32 
   484 check5[10,2]                0                          32 
   485 check5[10,3]                0                          32 
   486 check5[10,4]                0                          32 
   487 check5[10,5]                0                          32 
   488 check5[10,6]                0                          32 
   489 check5[10,7]                0                          32 
   490 check5[10,8]                0                          32 
   491 check5[10,9]               -3                          32 
   492 check5[10,10]
                                  -3                          32 
   493 check5[10,11]
                                  -3                          26 
   494 check5[10,12]
                                   0                          26 
   495 check5[10,13]
                                   0                          26 
   496 check5[11,1]                0                          32 
   497 check5[11,2]                0                          32 
   498 check5[11,3]                0                          32 
   499 check5[11,4]                0                          32 
   500 check5[11,5]                0                          32 
   501 check5[11,6]                0                          32 
   502 check5[11,7]                0                          32 
   503 check5[11,8]                0                          32 
   504 check5[11,9]               -3                          32 
   505 check5[11,10]
                                  -3                          32 
   506 check5[11,11]
                                  -3                          32 
   507 check5[11,12]
                                   0                          26 
   508 check5[11,13]
                                   0                          26 
   509 check5[12,1]                0                          32 
   510 check5[12,2]                0                          32 
   511 check5[12,3]                0                          32 
   512 check5[12,4]                0                          32 
   513 check5[12,5]                0                          32 
   514 check5[12,6]                0                          32 
   515 check5[12,7]                0                          32 
   516 check5[12,8]                0                          32 
   517 check5[12,9]               -3                          32 
   518 check5[12,10]
                                  -3                          32 
   519 check5[12,11]
                                  -3                          32 
   520 check5[12,12]
                                   0                          32 
   521 check5[12,13]
                                  -3                          26 
   522 check5[13,1]                0                          32 
   523 check5[13,2]                0                          32 
   524 check5[13,3]                0                          32 
   525 check5[13,4]                0                          32 
   526 check5[13,5]                0                          32 
   527 check5[13,6]                0                          32 
   528 check5[13,7]                0                          32 
   529 check5[13,8]                0                          32 
   530 check5[13,9]               -3                          32 
   531 check5[13,10]
                                  -3                          32 
   532 check5[13,11]
                                  -3                          32 
   533 check5[13,12]
                                   0                          32 
   534 check5[13,13]
                                   0                          32 
   535 check6[1,1]                 0           -64               
   536 check6[1,2]                 0           -63               
   537 check6[1,3]                 0           -63               
   538 check6[1,4]                 0           -63               
   539 check6[1,5]                 0           -63               
   540 check6[1,6]                 2           -59               
   541 check6[1,7]                 0           -63               
   542 check6[1,8]                 0           -63               
   543 check6[1,9]                -3           -63               
   544 check6[1,10]                0           -58               
   545 check6[1,11]                0           -58               
   546 check6[1,12]                3           -58               
   547 check6[1,13]                0           -59               
   548 check6[2,1]                 0           -64               
   549 check6[2,2]                 0           -64               
   550 check6[2,3]                 0           -63               
   551 check6[2,4]                 0           -63               
   552 check6[2,5]                 0           -63               
   553 check6[2,6]                 2           -59               
   554 check6[2,7]                 0           -63               
   555 check6[2,8]                 0           -63               
   556 check6[2,9]               -35           -63               
   557 check6[2,10]                0           -58               
   558 check6[2,11]                0           -58               
   559 check6[2,12]                3           -58               
   560 check6[2,13]                0           -59               
   561 check6[3,1]                 0           -64               
   562 check6[3,2]                 0           -64               
   563 check6[3,3]                 0           -64               
   564 check6[3,4]                 0           -63               
   565 check6[3,5]                 0           -63               
   566 check6[3,6]                 2           -59               
   567 check6[3,7]                 0           -63               
   568 check6[3,8]                 0           -63               
   569 check6[3,9]               -35           -63               
   570 check6[3,10]              -32           -58               
   571 check6[3,11]                0           -58               
   572 check6[3,12]                3           -58               
   573 check6[3,13]                0           -59               
   574 check6[4,1]                 0           -64               
   575 check6[4,2]                 0           -64               
   576 check6[4,3]                 0           -64               
   577 check6[4,4]                 0           -64               
   578 check6[4,5]                 0           -63               
   579 check6[4,6]                 2           -59               
   580 check6[4,7]                 0           -63               
   581 check6[4,8]                 0           -63               
   582 check6[4,9]               -35           -63               
   583 check6[4,10]              -32           -58               
   584 check6[4,11]                0           -58               
   585 check6[4,12]                3           -58               
   586 check6[4,13]                0           -59               
   587 check6[5,1]                 0           -64               
   588 check6[5,2]                 0           -64               
   589 check6[5,3]                 0           -64               
   590 check6[5,4]                 0           -64               
   591 check6[5,5]                 0           -64               
   592 check6[5,6]                 2           -59               
   593 check6[5,7]                 0           -63               
   594 check6[5,8]                 0           -63               
   595 check6[5,9]               -35           -63               
   596 check6[5,10]              -32           -58               
   597 check6[5,11]                0           -58               
   598 check6[5,12]                3           -58               
   599 check6[5,13]                0           -59               
   600 check6[6,1]                 0           -64               
   601 check6[6,2]                 0           -64               
   602 check6[6,3]                 0           -64               
   603 check6[6,4]                 0           -64               
   604 check6[6,5]                 0           -64               
   605 check6[6,6]                 0           -64               
   606 check6[6,7]                 0           -63               
   607 check6[6,8]                 0           -63               
   608 check6[6,9]               -35           -63               
   609 check6[6,10]              -32           -58               
   610 check6[6,11]              -32           -58               
   611 check6[6,12]                3           -58               
   612 check6[6,13]                0           -59               
   613 check6[7,1]                 0           -64               
   614 check6[7,2]                 0           -64               
   615 check6[7,3]                 0           -64               
   616 check6[7,4]                 0           -64               
   617 check6[7,5]                 0           -64               
   618 check6[7,6]                 0           -64               
   619 check6[7,7]                 0           -64               
   620 check6[7,8]                 0           -63               
   621 check6[7,9]               -35           -63               
   622 check6[7,10]              -32           -58               
   623 check6[7,11]              -32           -58               
   624 check6[7,12]                3           -58               
   625 check6[7,13]                0           -59               
   626 check6[8,1]                 0           -64               
   627 check6[8,2]                 0           -64               
   628 check6[8,3]                 0           -64               
   629 check6[8,4]                 0           -64               
   630 check6[8,5]                 0           -64               
   631 check6[8,6]                 0           -64               
   632 check6[8,7]                 0           -64               
   633 check6[8,8]                 0           -64               
   634 check6[8,9]               -35           -63               
   635 check6[8,10]              -32           -58               
   636 check6[8,11]              -32           -58               
   637 check6[8,12]                3           -58               
   638 check6[8,13]                0           -59               
   639 check6[9,1]                 0           -64               
   640 check6[9,2]                 0           -64               
   641 check6[9,3]                 0           -64               
   642 check6[9,4]                 0           -64               
   643 check6[9,5]                 0           -64               
   644 check6[9,6]                 0           -64               
   645 check6[9,7]                 0           -64               
   646 check6[9,8]                 0           -64               
   647 check6[9,9]                -3           -64               
   648 check6[9,10]                3           -58               
   649 check6[9,11]                3           -58               
   650 check6[9,12]                6           -58               
   651 check6[9,13]                3           -59               
   652 check6[10,1]                0           -64               
   653 check6[10,2]                0           -64               
   654 check6[10,3]                0           -64               
   655 check6[10,4]                0           -64               
   656 check6[10,5]                0           -64               
   657 check6[10,6]                0           -64               
   658 check6[10,7]                0           -64               
   659 check6[10,8]                0           -64               
   660 check6[10,9]               -3           -64               
   661 check6[10,10]
                                  -3           -64               
   662 check6[10,11]
                                   3           -58               
   663 check6[10,12]
                                   6           -58               
   664 check6[10,13]
                                   3           -59               
   665 check6[11,1]                0           -64               
   666 check6[11,2]                0           -64               
   667 check6[11,3]                0           -64               
   668 check6[11,4]                0           -64               
   669 check6[11,5]                0           -64               
   670 check6[11,6]                0           -64               
   671 check6[11,7]                0           -64               
   672 check6[11,8]                0           -64               
   673 check6[11,9]               -3           -64               
   674 check6[11,10]
                                  -3           -64               
   675 check6[11,11]
                                  -3           -64               
   676 check6[11,12]
                                   6           -58               
   677 check6[11,13]
                                   3           -59               
   678 check6[12,1]                0           -64               
   679 check6[12,2]                0           -64               
   680 check6[12,3]                0           -64               
   681 check6[12,4]                0           -64               
   682 check6[12,5]                0           -64               
   683 check6[12,6]                0           -64               
   684 check6[12,7]                0           -64               
   685 check6[12,8]                0           -64               
   686 check6[12,9]               -3           -64               
   687 check6[12,10]
                                  -3           -64               
   688 check6[12,11]
                                  -3           -64               
   689 check6[12,12]
                                   0           -64               
   690 check6[12,13]
                                   0           -59               
   691 check6[13,1]                0           -64               
   692 check6[13,2]                0           -64               
   693 check6[13,3]                0           -64               
   694 check6[13,4]                0           -64               
   695 check6[13,5]                0           -64               
   696 check6[13,6]                0           -64               
   697 check6[13,7]                0           -64               
   698 check6[13,8]                0           -64               
   699 check6[13,9]               -3           -64               
   700 check6[13,10]
                                  -3           -64               
   701 check6[13,11]
                                  -3           -64               
   702 check6[13,12]
                                   0           -64               
   703 check6[13,13]
                                   0           -64               
   704 check7[1]                   0            -0               
   705 check7[2]                   1            -0               
   706 check7[3]                   4            -0               
   707 check7[4]                   5            -0               
   708 check7[5]                   6            -0               
   709 check7[6]                   7            -0               
   710 check7[7]                  12            -0               
   711 check7[8]                  13            -0               
   712 check7[9]                   1            -0               
   713 check7[10]                  2            -0               
   714 check7[11]                  8            -0               
   715 check7[12]                 14            -0               
   716 check7[13]                 20            -0               
   717 check8[1]                   0            -0               
   718 check8[2]                   0            -0               
   719 check8[3]                   0            -0               
   720 check8[4]                   0            -0               
   721 check8[5]                   0            -0               
   722 check8[6]                   0            -0               
   723 check8[7]                   0            -0               
   724 check8[8]                   0            -0               
   725 check8[9]                   3            -0               
   726 check8[10]                  3            -0               
   727 check8[11]                  3            -0               
   728 check8[12]                  0            -0               
   729 check8[13]                  0            -0               

   No. Column name       Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 x[1]         *              0             0               
     2 x[2]         *              1             0               
     3 x[3]         *              4             0               
     4 x[4]         *              5             0               
     5 x[5]         *              6             0               
     6 x[6]         *              7             0               
     7 x[7]         *             12             0               
     8 x[8]         *             13             0               
     9 x[9]         *              1             0               
    10 x[10]        *              2             0               
    11 x[11]        *              8             0               
